timestamp,icao24,latitude,longitude,groundspeed,track,vertical_rate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,last_position,lastcontact,hour,extraField
1481274822,394C19,,,,,,,False,False,False,,,23875,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18100}'
1481274822,394C19,,,,,,,False,False,False,,,23875,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18100}'
1481274821,3949F7,,,,,,,False,,,,,,,,,'{"aircraftID":2433,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18049}'
1481274821,3949F3,,,396.9,70.9,,,,,,,,,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18081}'
1481274821,3949F3,,,396.9,70.9,,,,,,,,,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18081}'
1481274821,3949F3,,,,,,,False,False,False,,,15000,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18081}'
1481274821,3949F3,,,,,,,False,False,False,,,15000,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18081}'
1481274821,3949F3,,,,,,,False,False,False,,,15000,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18081}'
1481274821,3949F3,,,,,,,False,False,False,,,15000,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18081}'
1481274821,3949F3,48.88627,1.98975,,,,,False,False,False,,,15000,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":3,"sessionID":1,"flightID":18081,"emergency":false}'
1481274822,3949F3,,,394.7,72.8,,,,,,,,,,,,'{"aircraftID":429,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18081}'
1481274821,3949EA,,,,,,,False,False,False,,,37625,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18143}'
1481274821,3949EA,,,,,,,False,False,False,,,37625,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18143}'
1481274821,3949EA,,,,,,,False,False,False,,,37625,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18143}'
1481274821,3949EA,,,,,,,False,False,False,,,37625,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18143}'
1481274821,3949EA,,,,,,,False,,,,,,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18143}'
1481274821,3949EA,,,,,,,False,,,,,,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18143}'
1481274821,3949EA,,,,,,,False,False,False,,,37625,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18143}'
1481274822,3949EA,,,,,,,False,False,False,,,37625,,,,'{"aircraftID":2142,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18143}'
